turnoverNumber,buyTurnoverNumber,sellTurnoverNumber,sellQty,buyQty,buyVolUsd,sellVolUsd,volUsd
11.0,0.0,11.0,0,0,0.0,42104.1575,42104.1575
15.0,0.0,15.0,0,0,0.0,36247.48649,36247.48649
47.0,2.0,45.0,0,0,3094.32995,351056.21157335,354150.54152335
2.0,0.0,2.0,0,0,0.0,9692.70058,9692.70058
4.0,0.0,4.0,0,0,0.0,11430.65038,11430.65038
23.0,15.0,8.0,0,0,192034.04677,16033.38074,208067.42751
21.0,13.0,8.0,0,0,34750.32628,16712.15051,51462.47679
3.0,2.0,1.0,0,0,382.9462,1394.71178,1777.65798
35.0,22.0,13.0,0,0,125126.07486,61405.51945056,186531.59431056
3.0,0.0,3.0,0,0,0.0,6453.9889,6453.9889
123.0,1.0,122.0,0,0,158.284,2531690.85360999,2531849.13760999
168.0,11.0,157.0,0,0,5829.93738,3258772.68141,3264602.61879
21.0,11.0,10.0,0,0,33427.02608,93724.61800444,127151.64408444
12.0,9.0,3.0,0,0,37508.84679,207.46314,37716.30993
16.0,14.0,2.0,0,0,174545.3863,71845.95693,246391.34323
111.0,1.0,110.0,0,0,1954.05815,642268.49835999,644222.55650999
143.0,0.0,143.0,0,0,0.0,1535563.88988268,1535563.88988268
13.0,12.0,1.0,0,0,27107.65183,4675.47,31783.12183
11.0,6.0,5.0,0,0,23679.68391,33924.20968,57603.89359
6.0,2.0,4.0,0,0,236.17925,632.24531,868.42456
4.0,0.0,4.0,0,0,0.0,6329.5916,6329.5916
1.0,1.0,0.0,0,0,1742.5779,0.0,1742.5779
32.0,15.0,17.0,0,0,45128.07085,68022.91119,113150.98204
19.0,13.0,6.0,0,0,81405.093064,11446.15088,92851.243944
49.0,30.0,19.0,0,0,88074.06909,9266.855636,97340.924726
14.0,0.0,14.0,0,0,0.0,54471.6521,54471.6521
87.0,74.0,13.0,0,0,2234319.47218,100686.43901237,2335005.91119237
10.0,3.0,7.0,0,0,21243.23538,11097.77394,32341.00932
,,,0,0,,,
27.0,11.0,16.0,0,0,75866.6301662,55098.98243,130965.6125962
10.0,9.0,1.0,0,0,88382.48753,831.22828,89213.71581
114.0,73.0,41.0,0,0,632210.17003,447507.84764,1079718.01767
18.0,16.0,2.0,0,0,93643.76934,646.37394,94290.14328
15.0,14.0,1.0,0,0,33957.26249,15.7499,33973.01239
9.0,2.0,7.0,0,0,2897.7153,24450.8569,27348.5722
52.0,3.0,49.0,0,0,10218.87906,172479.98604,182698.8651
48.0,6.0,42.0,0,0,14900.3804,144775.365865,159675.746265
4.0,1.0,3.0,0,0,12782.2521,5037.13753,17819.38963
49.0,12.0,37.0,0,0,17153.70709,236648.13573,253801.84282
13.0,0.0,13.0,0,0,0.0,62727.1862359,62727.1862359
26.0,6.0,20.0,0,0,18959.31946,139205.94706,158165.26652
58.0,2.0,56.0,0,0,3502.98371,324798.3245492,328301.3082592
72.0,1.0,71.0,0,0,187.7592,401444.96122587,401632.72042587
106.0,1.0,105.0,0,0,389.51,683861.15049504,684250.66049504
14.0,11.0,3.0,0,0,43849.09472,94983.92044,138833.01516
5.0,1.0,4.0,0,0,392.14,13347.69993,13739.83993
15.0,12.0,3.0,0,0,27394.94135,16744.04033,44138.98168
288.0,5.0,283.0,0,0,102643.16994,3161996.00217188,3264639.17211188
12.0,0.0,12.0,0,0,0.0,22175.53521,22175.53521
4.0,0.0,4.0,0,0,0.0,73732.3216,73732.3216
7.0,0.0,7.0,0,0,0.0,50702.0036,50702.0036
8.0,8.0,0.0,0,0,20102.08642,0.0,20102.08642
2.0,0.0,2.0,0,0,0.0,30037.32706,30037.32706
3.0,0.0,3.0,0,0,0.0,16841.596,16841.596
13.0,1.0,12.0,0,0,4019.32518,127536.82514,131556.15032
73.0,4.0,69.0,0,0,566.28606,465194.00515976,465760.29121976
25.0,19.0,6.0,0,0,106138.09666,86824.97206,192963.06872
8.0,8.0,0.0,0,0,9121.57815,0.0,9121.57815
22.0,18.0,4.0,0,0,242670.09932,8345.1669,251015.26622
36.0,34.0,2.0,0,0,164855.58348,29927.01254,194782.59602
42.0,31.0,11.0,0,0,113965.0873,35505.64671507,149470.73401507
57.0,43.0,14.0,0,0,386701.61657,134981.52290334,521683.13947334
115.0,101.0,14.0,0,0,1526887.54816896,48225.04709,1575112.59525896
22.0,2.0,20.0,0,0,28306.5893292,144734.27869,173040.8680192
9.0,7.0,2.0,0,0,28916.09254,33250.6214,62166.71394
17.0,17.0,0.0,0,0,94624.0512,0.0,94624.0512
25.0,20.0,5.0,0,0,511736.24114,32761.42174,544497.66288
6.0,1.0,5.0,0,0,7819.23772,20392.62155,28211.85927
1.0,1.0,0.0,0,0,1351.2406,0.0,1351.2406
1.0,0.0,1.0,0,0,0.0,469.731,469.731
12.0,3.0,9.0,0,0,4863.9314,11741.46887,16605.40027
12.0,1.0,11.0,0,0,169.80347,28137.35746,28307.16093
223.0,222.0,1.0,0,0,2192822.1019775,157.996,2192980.0979775
79.0,68.0,11.0,0,0,573446.80808937,32987.25116,606434.05924937
29.0,5.0,24.0,0,0,20807.67991,253813.4326115,274621.1125215
24.0,8.0,16.0,0,0,96464.76878,40992.08417,137456.85295
8.0,6.0,2.0,0,0,9354.14542,29862.03756,39216.18298
28.0,28.0,0.0,0,0,160401.34468,0.0,160401.34468
412.0,399.0,13.0,0,0,5386517.72327048,68747.46881,5455265.19208048
67.0,56.0,11.0,0,0,157803.48901,52205.83318,210009.32219
235.0,196.0,39.0,0,0,1206407.47774,184369.81681,1390777.29455
30.0,5.0,25.0,0,0,73355.36698,369943.75351368,443299.12049368
89.0,4.0,85.0,0,0,46320.561,831427.56254,877748.12354
48.0,10.0,38.0,0,0,31993.7122,329525.97553,361519.68773
39.0,17.0,22.0,0,0,61806.37683,236427.28096,298233.65779
13.0,5.0,8.0,0,0,2019.13132,27361.84326,29380.97458
9.0,4.0,5.0,0,0,5600.81702,293124.8203,298725.63732
62.0,16.0,46.0,0,0,685629.98956,233868.2152,919498.20476
3.0,2.0,1.0,0,0,50585.4028,11.25243,50596.65523
5.0,1.0,4.0,0,0,31532.64224,4493.24138,36025.88362
4.0,2.0,2.0,0,0,694.4976,12932.03,13626.5276
1.0,0.0,1.0,0,0,0.0,6700.68,6700.68
9.0,6.0,3.0,0,0,5759.32956,11403.74212,17163.07168
14.0,11.0,3.0,0,0,23627.81773,7829.00639326,31456.82412326
7.0,2.0,5.0,0,0,3689.913,4433.99369,8123.90669
37.0,1.0,36.0,0,0,525.29856,280693.00661,281218.30517
97.0,0.0,97.0,0,0,0.0,619351.62329996,619351.62329996
12.0,3.0,9.0,0,0,5907.58105,136192.20444,142099.78549
5.0,5.0,0.0,0,0,43333.96801,0.0,43333.96801
1.0,1.0,0.0,0,0,431.5356,0.0,431.5356
60.0,58.0,2.0,0,0,790568.80066,80274.919,870843.71966
14.0,13.0,1.0,0,0,53666.13393,481.029,54147.16293
31.0,18.0,13.0,0,0,111245.28841,36205.9908,147451.27921
25.0,20.0,5.0,0,0,36358.06255,38359.96137531,74718.02392531
6.0,3.0,3.0,0,0,9424.07372,5499.91476,14923.98848
29.0,22.0,7.0,0,0,139857.349803,41841.5596,181698.909403
10.0,6.0,4.0,0,0,9399.39854,20837.4178,30236.81634
54.0,50.0,4.0,0,0,139200.28035,4977.9186,144178.19895
155.0,151.0,4.0,0,0,1538216.40112,1260.13139,1539476.53251
132.0,108.0,24.0,0,0,877880.81214,166470.90067,1044351.71281
38.0,18.0,20.0,0,0,192503.54856,64853.7576,257357.30616
